iter	Passed	Remaining
0	19	958
1	39	955
2	61	964
3	79	915
4	96	866
5	111	815
6	126	777
7	141	740
8	158	720
9	172	690
10	190	674
11	204	647
12	220	628
13	238	614
14	256	598
15	271	577
16	285	554
17	303	539
18	320	523
19	337	505
20	355	490
21	374	476
22	391	459
23	406	440
24	426	426
25	441	407
26	458	390
27	473	372
28	489	354
29	505	337
30	521	319
31	535	301
32	549	283
33	562	264
34	576	246
35	593	230
36	608	213
37	621	196
38	636	179
39	653	163
40	669	146
41	683	130
42	697	113
43	714	97
44	731	81
45	753	65
46	776	49
47	792	33
48	807	16
49	824	0
